,Duration,Date,Pulse,Maxpulse,Calories
0,60,2023-10-01,110.0,130.0,409.1
1,60,2023-10-02,117.0,145.0,479.0
2,60,2023-10-03,103.0,135.0,340.3
3,45,2023-10-04,109.0,175.0,282.4
4,45,2023-10-05,117.0,150.0,405.1
5,60,2023-10-06,103.0,125.0,300.0
6,60,2023-10-07,110.0,135.0,374.0
8,60,2023-10-09,112.0,126.0,193.8
9,30,2023-10-10,102.0,147.0,234.8
10,60,2023-10-11,100.0,129.0,375.3
11,60,2023-10-12,109.0,131.0,345.6
12,60,2023-10-13,103.0,136.0,239.2
14,60,2023-10-15,120.0,100.0,240.8
16,60,2023-10-17,127.0,102.0,380.2
17,45,2023-10-18,142.0,103.0,241.4
19,60,2023-10-20,162.0,105.0,300.9
20,60,2023-10-21,100.0,106.0,280.0
24,60,2023-10-25,132.0,110.0,236.9
25,60,2023-10-26,135.0,118.0,278.8
26,60,2023-10-27,137.0,119.0,212.9
27,60,2023-10-28,138.0,121.0,345.9
28,60,2023-10-29,139.0,122.0,345.2
